ID Numeric,ID String,Description,Tag,Appears in 2019-10 Edition Booklet,Index in 2019-10 Edition Booklet,Spectrum Reported,Transmission % @ 360 nm,Transmission % @ 380 nm,Transmission % @ 400 nm,Transmission % @ 420 nm,Transmission % @ 440 nm,Transmission % @ 460 nm,Transmission % @ 480 nm,Transmission % @ 500 nm,Transmission % @ 520 nm,Transmission % @ 540 nm,Transmission % @ 560 nm,Transmission % @ 580 nm,Transmission % @ 600 nm,Transmission % @ 620 nm,Transmission % @ 640 nm,Transmission % @ 660 nm,Transmission % @ 680 nm,Transmission % @ 700 nm,Transmission % @ 720 nm,Transmission % @ 740 nm
317,317,apricot,317_apricot,1,92,1,22,21,18,18,21,21,20,20,24,33,45,67,84,88,89,89,89,89,89,89
318,318,mayan sun,318_mayan-sun,1,94,1,52,61,56,42,24,13,9,9,11,26,34,58,80,85,86,86,86,86,87,87
321,321,soft golden amber,321_soft-golden-amber,1,98,1,47,44,22,6,2,7,27,27,20,25,25,49,72,73,70,68,66,68,76,83
324,324,gypsy red,324_gypsy-red,1,102,1,24,33,32,25,12,5,2,1,1,1,3,17,60,84,88,89,89,89,89,89
325,325,henna sky,325_henna-sky,1,104,1,5,5,5,0,0,1,7,7,4,3,4,7,27,44,46,55,72,81,81,81
331,331,shell pink,331_shell-pink,1,109,1,57,68,70,67,57,47,40,37,37,44,51,69,85,89,90,90,90,90,91,91
332,332,cherry rose,332_cherry-rose,1,111,1,8,43,52,43,24,9,3,2,1,2,8,24,51,72,80,83,84,84,85,85
333,333,blush pink,333_blush-pink,1,113,1,61,68,72,74,74,71,67,62,57,56,58,63,74,79,80,82,84,84,85,85
336,336,billington pink,336_billington-pink,1,117,1,46,59,67,69,64,56,46,36,29,27,30,40,63,77,79,80,80,80,81,81
337,337,true pink,337_true-pink,1,119,1,76,80,80,79,74,67,58,49,42,41,44,56,76,85,87,88,88,88,88,88
339,339,broadway pink,339_broadway-pink,1,122,1,26,40,47,44,32,19,9,4,2,1,3,4,21,61,75,81,84,85,86,86
342,342,rose pink,342_rose-pink,1,126,1,4,17,35,30,15,5,1,0,0,0,1,3,23,62,80,85,86,86,86,86
343,343,neon pink,343_neon-pink,1,128,1,1,9,53,60,49,34,19,8,3,3,7,29,65,82,86,87,88,88,88,88
344,344,follies pink,344_follies-pink,1,130,1,49,63,70,69,62,50,36,22,14,8,10,10,32,72,83,86,87,88,88,88
346,346,tropical magenta,346_tropical-magenta,1,133,1,14,29,46,55,53,38,18,5,2,1,0,3,25,55,73,79,80,80,81,81
347,347,belladonna rose,347_belladonna-rose,1,135,1,3,19,46,39,24,11,4,2,0,0,0,1,0,3,14,35,50,58,69,80
348,348,purple jazz,348_purple-jazz,1,137,1,15,42,69,66,53,37,24,14,8,4,3,4,9,23,46,69,83,88,90,90
349,349,fisher fuchsia,349_fisher-fuchsia,1,139,1,1,14,62,65,49,28,12,4,1,1,1,3,11,30,54,73,83,88,89,90
351,351,lavender mist,351_lavender-mist,1,142,1,68,74,77,78,79,76,71,67,61,57,56,57,53,64,64,64,85,87,87,88
353,353,lilly lavender,353_lilly-lavender,1,145,1,42,58,69,73,72,67,58,48,37,27,22,18,22,27,32,58,79,86,88,89
355,355,pale violet,355_pale-violet,1,148,1,33,48,59,63,66,62,52,42,30,19,14,10,12,14,17,44,73,84,86,87
356,356,middle lavender,356_middle-lavender,1,150,1,36,54,67,69,67,60,51,41,31,23,19,17,22,29,37,60,79,84,86,87
357,357,royal lavender,357_royal-lavender,1,152,1,28,36,44,53,58,48,31,15,6,2,2,1,3,5,6,28,66,81,86,87
358,358,rose indigo,358_rose-indigo,1,154,1,21,31,40,47,48,35,18,6,2,1,1,0,2,6,7,31,65,77,80,82
359,359,medium violet,359_medium-violet,1,156,1,24,31,39,50,59,52,35,18,8,3,2,1,1,2,3,19,49,71,82,86
360,360,clearwater,360_clearwater,1,158,1,52,59,65,70,71,65,62,57,51,50,45,46,42,38,35,34,42,59,74,81
361,361,hemsley blue,361_hemsley-blue,1,160,1,45,45,45,51,59,60,55,45,31,17,11,4,5,5,5,27,64,80,80,80
362,362,tipton blue,362_tipton-blue,1,162,1,61,69,74,76,75,71,66,59,50,41,35,28,27,26,25,37,62,78,82,84
363,363,aquamarine,363_aquamarine,1,164,1,8,35,67,76,82,85,85,84,80,71,56,44,38,37,39,43,37,52,59,66
364,364,blue bell,364_blue-bell,1,166,1,58,68,73,74,72,67,60,52,41,31,25,18,17,17,16,27,56,76,83,85
365,365,tharon delft blue,365_tharon-delft-blue,1,168,1,40,49,56,66,66,59,49,41,33,32,26,27,23,18,16,14,19,38,62,76
366,366,jordan blue,366_jordan-blue,1,170,1,34,46,58,69,79,83,79,71,59,42,29,16,13,11,11,23,28,55,63,75
367,367,slate blue,367_slate-blue,1,172,1,43,47,53,62,73,76,70,58,44,27,18,9,8,8,8,32,68,83,86,88
368,368,winkler blue,368_winkler-blue,1,174,1,46,46,46,57,67,68,60,47,31,17,10,4,4,4,6,27,62,77,77,77
369,369,tahitian blue,369_tahitian-blue,1,176,1,15,25,45,60,74,79,77,67,53,34,20,8,6,4,4,11,15,24,28,49
370,370,italian blue,370_italian-blue,1,178,1,3,7,21,31,43,55,63,67,61,43,21,9,4,2,1,2,1,1,2,11
371,371,theatre booster 1,371_theatre-booster-1,1,180,1,49,56,63,69,75,75,69,59,48,37,31,23,24,23,23,49,75,84,86,87
372,372,theatre booster 2,372_theatre-booster-2,1,182,1,39,51,67,74,77,77,75,70,64,57,52,46,46,47,48,46,36,52,54,63
373,373,theatre booster 3,373_theatre-booster-3,1,184,1,72,76,79,82,84,84,83,81,78,74,72,67,68,67,67,78,85,87,88,88
374,374,sea green,374_sea-green,1,186,1,14,21,26,30,41,54,63,63,56,42,27,14,7,4,3,2,1,5,22,49
375,375,cerulean blue,375_cerulean-blue,1,188,1,48,48,48,47,45,53,66,61,50,38,24,12,5,1,0,0,0,0,0,0
376,376,bermuda blue,376_bermuda-blue,1,190,1,46,54,53,43,35,39,52,46,33,21,12,6,4,4,3,10,39,67,79,82
377,377,iris purple,377_iris-purple,1,192,1,28,33,40,52,63,56,39,20,9,3,2,1,1,2,2,21,62,80,84,85
